address,학원,초등학교,중학교,고등학교,유치원
서울특별시 종로구 홍지동,1개,1개,1개,1개,2개
서울특별시 종로구 홍파동,8개,0개,0개,0개,0개
서울특별시 종로구 효자동,1개,0개,0개,0개,0개
서울특별시 종로구 효제동,1개,1개,0개,0개,0개
서울특별시 중구 남산동3가,1개,0개,0개,0개,0개
서울특별시 중구 다동,2개,0개,0개,0개,0개
서울특별시 중구 만리동1가,3개,0개,0개,0개,0개
서울특별시 중구 무교동,1개,0개,0개,0개,0개
서울특별시 중구 묵정동,3개,0개,0개,0개,0개
서울특별시 중구 북창동,1개,0개,0개,0개,0개
서울특별시 중구 서소문동,1개,0개,0개,0개,0개
서울특별시 중구 소공동,1개,0개,0개,0개,0개
서울특별시 중구 수하동,2개,0개,0개,0개,0개
서울특별시 중구 신당동,97개,6개,5개,5개,7개
서울특별시 중구 오장동,1개,0개,0개,0개,0개
서울특별시 중구 을지로1가,1개,0개,0개,0개,0개
서울특별시 중구 을지로2가,4개,0개,0개,0개,0개
서울특별시 중구 을지로3가,1개,0개,0개,0개,0개
서울특별시 중구 을지로6가,1개,0개,0개,0개,0개
서울특별시 중구 장충동1가,1개,0개,0개,0개,0개
서울특별시 중구 정동,3개,1개,1개,1개,1개
서울특별시 중구 중림동,9개,0개,0개,0개,0개
서울특별시 중구 충무로1가,1개,0개,0개,0개,0개
서울특별시 중구 충무로2가,2개,0개,0개,0개,0개
서울특별시 중구 충무로4가,1개,0개,0개,0개,0개
서울특별시 중구 충정로1가,2개,0개,0개,0개,0개
서울특별시 중구 태평로1가,5개,0개,0개,0개,0개
서울특별시 중구 태평로2가,2개,0개,0개,0개,0개
서울특별시 중구 필동1가,2개,0개,0개,0개,0개
서울특별시 중구 필동2가,1개,0개,0개,0개,0개
서울특별시 중구 필동3가,2개,0개,0개,0개,0개
서울특별시 중구 황학동,3개,0개,0개,0개,0개
서울특별시 중구 회현동1가,1개,0개,0개,0개,0개
서울특별시 중구 회현동3가,1개,0개,0개,0개,0개
서울특별시 중랑구 망우동,62개,4개,5개,5개,4개
서울특별시 중랑구 면목동,169개,7개,3개,1개,11개
서울특별시 중랑구 묵동,69개,3개,2개,2개,3개
서울특별시 중랑구 상봉동,46개,1개,2개,1개,2개
서울특별시 중랑구 신내동,166개,6개,0개,0개,7개
서울특별시 중랑구 중화동,48개,2개,2개,1개,5개
인천광역시 강화군 강화읍,1개,0개,0개,0개,0개
인천광역시 강화군 강화읍 갑곳리,30개,1개,1개,0개,1개
인천광역시 강화군 강화읍 관청리,20개,1개,1개,1개,2개
인천광역시 강화군 강화읍 신문리,8개,1개,0개,0개,2개
인천광역시 강화군 길상면 길직리,1개,0개,0개,0개,0개
인천광역시 강화군 길상면 온수리,9개,1개,1개,1개,0개
인천광역시 강화군 선원면 선행리,1개,0개,0개,0개,0개
인천광역시 강화군 선원면 창리,8개,0개,0개,0개,0개
인천광역시 강화군 화도면 상방리,1개,1개,1개,0개,0개
인천광역시 계양구 계산동,132개,7개,3개,2개,7개
인천광역시 계양구 귤현동,15개,1개,1개,0개,1개
인천광역시 계양구 동양동,22개,1개,1개,0개,2개
인천광역시 계양구 박촌동,13개,1개,0개,0개,0개
인천광역시 계양구 병방동,19개,2개,2개,1개,4개
인천광역시 계양구 서운동,2개,1개,1개,1개,1개
인천광역시 계양구 오류동,2개,0개,0개,0개,0개
인천광역시 계양구 용종동,62개,2개,0개,1개,1개
인천광역시 계양구 이화동,1개,0개,0개,0개,0개
인천광역시 계양구 임학동,22개,0개,0개,0개,0개
인천광역시 계양구 작전동,112개,4개,1개,3개,7개
인천광역시 계양구 장기동,9개,1개,0개,0개,1개
인천광역시 계양구 효성동,86개,4개,3개,1개,5개
인천광역시 남동구 간석동,162개,5개,4개,5개,10개
인천광역시 남동구 고잔동,1개,0개,0개,0개,0개
인천광역시 남동구 구월동,244개,8개,5개,0개,16개
인천광역시 남동구 남촌동,13개,1개,0개,0개,2개
인천광역시 남동구 논현동,283개,9개,3개,4개,15개
인천광역시 남동구 도림동,11개,1개,0개,0개,2개
인천광역시 남동구 만수동,220개,10개,6개,4개,12개
인천광역시 남동구 서창동,125개,4개,2개,1개,8개
인천광역시 동구 금곡동,2개,0개,0개,0개,0개
인천광역시 동구 만석동,7개,0개,0개,0개,0개
인천광역시 동구 송림동,20개,4개,1개,3개,5개
인천광역시 동구 송현동,29개,1개,0개,0개,5개
인천광역시 동구 화수동,7개,1개,1개,0개,1개
인천광역시 동구 화평동,2개,0개,0개,0개,0개
인천광역시 미추홀구 관교동,36개,2개,3개,0개,0개
인천광역시 미추홀구 도화동,43개,3개,3개,5개,5개
인천광역시 미추홀구 문학동,10개,1개,0개,1개,2개
인천광역시 미추홀구 숭의동,36개,2개,1개,0개,3개
인천광역시 미추홀구 용현동,159개,3개,2개,1개,9개
인천광역시 미추홀구 주안동,176개,6개,1개,2개,13개
인천광역시 미추홀구 학익동,84개,4개,1개,4개,9개
인천광역시 부평구 갈산동,43개,3개,1개,1개,6개
인천광역시 부평구 구산동,2개,1개,0개,0개,2개
인천광역시 부평구 부개동,139개,5개,5개,5개,13개
인천광역시 부평구 부평동,214개,7개,4개,2개,9개
인천광역시 부평구 산곡동,221개,9개,2개,6개,13개
인천광역시 부평구 삼산동,195개,5개,3개,3개,8개
인천광역시 부평구 십정동,56개,6개,3개,2개,6개
인천광역시 부평구 일신동,19개,1개,0개,0개,1개
인천광역시 부평구 청천동,43개,2개,1개,0개,4개
인천광역시 서구 가정동,61개,3개,0개,1개,4개
인천광역시 서구 가좌동,78개,4개,4개,2개,10개
인천광역시 서구 검암동,72개,2개,2개,1개,4개
인천광역시 서구 경서동,10개,2개,0개,0개,4개
인천광역시 서구 공촌동,2개,1개,0개,1개,1개
인천광역시 서구 금곡동,1개,1개,0개,0개,2개
인천광역시 서구 당하동,101개,3개,1개,1개,6개
인천광역시 서구 대곡동,1개,0개,0개,0개,0개
인천광역시 서구 마전동,120개,2개,1개,2개,8개
인천광역시 서구 불로동,28개,2개,1개,0개,3개
인천광역시 서구 석남동,44개,4개,2개,1개,4개
인천광역시 서구 신현동,59개,3개,3개,1개,5개
인천광역시 서구 심곡동,40개,2개,0개,0개,3개
인천광역시 서구 연희동,16개,1개,1개,1개,1개
인천광역시 서구 오류동,3개,1개,0개,0개,3개
인천광역시 서구 왕길동,32개,1개,0개,0개,1개
인천광역시 서구 원당동,33개,1개,0개,1개,6개
인천광역시 서구 청라동,406개,7개,4개,4개,13개
인천광역시 연수구 동춘동,207개,6개,3개,3개,9개
인천광역시 연수구 선학동,26개,1개,1개,0개,1개
인천광역시 연수구 송도동,611개,15개,4개,6개,19개
인천광역시 연수구 연수동,97개,5개,3개,3개,9개
인천광역시 연수구 옥련동,96개,4개,2개,3개,6개
인천광역시 연수구 청학동,22개,1개,2개,1개,4개
인천광역시 옹진군 백령면 진촌리,2개,1개,0개,0개,1개
인천광역시 옹진군 영흥면 내리,2개,1개,1개,1개,1개
인천광역시 옹진군 영흥면 외리,1개,0개,0개,0개,0개
인천광역시 중구 경동,2개,0개,0개,0개,0개
인천광역시 중구 내동,1개,0개,0개,0개,0개
인천광역시 중구 답동,13개,1개,1개,0개,2개
인천광역시 중구 도원동,5개,0개,0개,0개,0개
인천광역시 중구 선화동,2개,0개,0개,0개,0개
인천광역시 중구 송월동1가,3개,0개,0개,0개,0개
인천광역시 중구 신생동,1개,0개,0개,0개,0개
인천광역시 중구 신흥동1가,5개,0개,0개,0개,0개
인천광역시 중구 신흥동2가,2개,0개,0개,0개,0개
인천광역시 중구 신흥동3가,7개,2개,1개,0개,2개
인천광역시 중구 운남동,13개,2개,1개,1개,1개
인천광역시 중구 운서동,44개,2개,1개,4개,4개
인천광역시 중구 율목동,1개,0개,0개,0개,0개
인천광역시 중구 인현동,2개,0개,0개,0개,0개
인천광역시 중구 중산동,111개,3개,0개,1개,6개
인천광역시 중구 항동7가,5개,1개,0개,0개,1개
