address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
서울특별시 중랑구 망우동,415460916.8,"37.596678,127.100419",4,5,5,4,62,76,30,0,2,0,0,0,63,0,8,2,0,1,0,0,0,13,4
서울특별시 중랑구 면목동,441185581.8,"37.584420,127.086487",7,3,1,11,169,192,68,0,4,0,0,0,158,2,16,1,0,0,1,1,1,43,11
서울특별시 중랑구 묵동,467325081.6,"37.611266,127.077829",3,2,2,3,69,57,20,0,2,0,0,1,65,3,5,1,0,1,0,0,0,18,3
서울특별시 중랑구 상봉동,479788672.9,"37.596267,127.085704",1,2,1,2,46,70,20,1,0,0,0,2,63,0,4,1,0,2,1,0,1,12,2
서울특별시 중랑구 신내동,455659654.2,"37.607237,127.098924",6,0,0,7,166,63,26,1,3,0,2,0,65,6,4,0,0,1,1,0,2,29,7
서울특별시 중랑구 중화동,390522400.5,"37.599750,127.077718",2,2,1,5,48,59,21,0,1,0,0,0,42,0,6,1,0,0,0,1,0,11,5
서울특별시 종로구 송현동,,"37.577322,126.982187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 종로구 훈정동,,"37.570980,126.995131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 강서구 과해동,0,"37.560661,126.794953",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
서울특별시 강서구 오곡동,0,"37.554615,126.775768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
서울특별시 강서구 오쇠동,0,"37.541148,126.796575",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
서울특별시 영등포구 양화동,0,"37.545629,126.891554",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
서울특별시 영등포구 양평동,234694444.4,"37.522602,126.881344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
