,법정동명,공시가격
130,서울특별시 서대문구 천연동,243038081.027768
131,서울특별시 서대문구 충정로2가,208619400.24479803
132,서울특별시 서대문구 충정로3가,217998631.96873072
133,서울특별시 서대문구 합동,370138037.8657487
134,서울특별시 서대문구 현저동,320936260.3305785
135,서울특별시 서대문구 홍은동,178539639.3692911
136,서울특별시 서대문구 홍제동,222479582.3384281
137,서울특별시 서초구 내곡동,570499450.0659921
138,서울특별시 서초구 반포동,983922042.2375293
139,서울특별시 서초구 방배동,542449298.76052
140,서울특별시 서초구 서초동,683572375.6844515
141,서울특별시 서초구 신원동,661695633.0919465
142,서울특별시 서초구 양재동,293987434.10773474
143,서울특별시 서초구 염곡동,726606896.5517242
144,서울특별시 서초구 우면동,441850487.9913423
145,서울특별시 서초구 원지동,288257142.85714287
146,서울특별시 서초구 잠원동,788659022.5590537
147,서울특별시 성동구 금호동1가,290699847.91799736
148,서울특별시 성동구 금호동2가,379135758.66634977
149,서울특별시 성동구 금호동3가,291594528.9399942
150,서울특별시 성동구 금호동4가,429866329.1546127
151,서울특별시 성동구 도선동,252922204.7053117
152,서울특별시 성동구 마장동,273718603.9437663
153,서울특별시 성동구 사근동,154142596.98057005
154,서울특별시 성동구 상왕십리동,668987892.5463487
155,서울특별시 성동구 성수동1가,491559984.08292407
156,서울특별시 성동구 성수동2가,394177613.8062903
157,서울특별시 성동구 송정동,239417038.75072297
158,서울특별시 성동구 옥수동,474687695.1596292
159,서울특별시 성동구 용답동,183206515.12076315
160,서울특별시 성동구 응봉동,315091533.9602672
161,서울특별시 성동구 하왕십리동,396383230.93008775
162,서울특별시 성동구 행당동,354966673.0188429
163,서울특별시 성동구 홍익동,197118486.84210527
164,서울특별시 성북구 길음동,303101616.49090064
165,서울특별시 성북구 돈암동,273137738.63255364
166,서울특별시 성북구 동선동1가,153700054.05405405
167,서울특별시 성북구 동선동2가,67291104.65116279
168,서울특별시 성북구 동선동3가,98594204.7859352
169,서울특별시 성북구 동선동4가,126818358.86782654
170,서울특별시 성북구 동선동5가,120855183.34985134
171,서울특별시 성북구 동소문동1가,126539147.10110204
172,서울특별시 성북구 동소문동2가,54500000.0
173,서울특별시 성북구 동소문동3가,119270833.33333331
174,서울특별시 성북구 동소문동4가,191602921.50651175
175,서울특별시 성북구 동소문동5가,332631710.64604187
176,서울특별시 성북구 동소문동6가,111618851.02239531
177,서울특별시 성북구 동소문동7가,279736075.3629157
178,서울특별시 성북구 보문동1가,87687117.90393013
179,서울특별시 성북구 보문동2가,99638203.38127682
180,서울특별시 성북구 보문동3가,345241035.61807835
181,서울특별시 성북구 보문동4가,323933757.3385519
182,서울특별시 성북구 보문동5가,139462743.86406544
183,서울특별시 성북구 보문동6가,254886405.56167403
184,서울특별시 성북구 보문동7가,104349635.03649636
185,서울특별시 성북구 삼선동1가,95121630.7814992
186,서울특별시 성북구 삼선동2가,307421781.43712574
187,서울특별시 성북구 삼선동3가,213664571.6175984
188,서울특별시 성북구 삼선동4가,241594851.66683656
189,서울특별시 성북구 삼선동5가,105840703.92262223
190,서울특별시 성북구 상월곡동,217060827.04239127
191,서울특별시 성북구 석관동,224421359.556736
192,서울특별시 성북구 성북동,237447865.58805227
193,서울특별시 성북구 성북동1가,133006362.04634891
194,서울특별시 성북구 안암동1가,281841740.44076097
