,address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
26,경기도 가평군 상면 원흥리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,경기도 가평군 상면 율길리,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
28,경기도 가평군 상면 임초리,19617187.5,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
29,경기도 가평군 상면 태봉리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30,경기도 가평군 상면 항사리,32040740.74,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
31,경기도 가평군 상면 행현리,33598470.95,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
32,경기도 가평군 설악면 가일리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
33,경기도 가평군 설악면 묵안리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
34,경기도 가평군 설악면 미사리,117881818.2,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,경기도 가평군 설악면 방일리,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
36,경기도 가평군 설악면 사룡리,132324615.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
37,경기도 가평군 설악면 선촌리,126352816.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
38,경기도 가평군 설악면 설곡리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
39,경기도 가평군 설악면 송산리,61188322.37,,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
40,경기도 가평군 설악면 신천리,58464109.59,,1.0,1.0,1,1.0,11.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
41,경기도 가평군 설악면 엄소리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,경기도 가평군 설악면 위곡리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
43,경기도 가평군 설악면 이천리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
44,경기도 가평군 설악면 창의리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,경기도 가평군 설악면 천안리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
46,경기도 가평군 설악면 회곡리,282815236.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
47,경기도 가평군 조종면 대보리,119385087.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
48,경기도 가평군 조종면 마일리,99200000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
49,경기도 가평군 조종면 상판리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,경기도 가평군 조종면 신상리,107720833.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
51,경기도 가평군 조종면 신하리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
52,경기도 가평군 조종면 운악리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
53,경기도 가평군 조종면 현리,56533509.05,,1.0,1.0,1,1.0,9.0,13.0,3.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
54,경기도 가평군 청평면 고성리,336444444.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,경기도 가평군 청평면 대성리,78681468.22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
56,경기도 가평군 청평면 삼회리,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
57,경기도 가평군 청평면 상천리,48505035.08,,1.0,0.0,0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
58,경기도 가평군 청평면 청평리,88986305.17,,1.0,1.0,1,1.0,15.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
59,경기도 가평군 청평면 하천리,170571428.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
60,경기도 가평군 청평면 호명리,68756250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,경기도 가평군 하면 대보리,112691729.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,경기도 가평군 하면 마일리,97333333.33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,경기도 가평군 하면 신상리,101250000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,경기도 가평군 하면 현리,35044105.17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,경기도 고양시 고양동,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,경기도 고양시 덕양구 강매동,189847222.2,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
67,경기도 고양시 덕양구 고양동,117002857.1,,2.0,1.0,1,4.0,57.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0
68,경기도 고양시 덕양구 관산동,88273110.0,,1.0,1.0,1,3.0,36.0,17.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0
69,경기도 고양시 덕양구 내곡동,156111904.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
70,경기도 고양시 덕양구 내유동,84866259.46,,1.0,0.0,0,1.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
71,경기도 고양시 덕양구 대자동,119307730.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
72,경기도 고양시 덕양구 대장동,135770786.5,,1.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
73,경기도 고양시 덕양구 덕은동,158450249.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
74,경기도 고양시 덕양구 도내동,293894934.4,,2.0,1.0,1,3.0,77.0,19.0,8.0,0.0,1.0,0.0,1.0,0.0,50.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,3.0
75,경기도 고양시 덕양구 동산동,335103448.5,,2.0,0.0,1,3.0,55.0,8.0,7.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
76,경기도 고양시 덕양구 벽제동,107199818.1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
77,경기도 고양시 덕양구 삼송동,301341708.4,,0.0,0.0,0,0.0,33.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
78,경기도 고양시 덕양구 선유동,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
79,경기도 고양시 덕양구 성사동,169243932.5,,2.0,1.0,1,5.0,80.0,50.0,13.0,0.0,1.0,1.0,2.0,0.0,36.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,5.0
80,경기도 고양시 덕양구 신원동,236949314.3,,1.0,1.0,1,2.0,74.0,21.0,8.0,0.0,4.0,0.0,1.0,0.0,37.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0
81,경기도 고양시 덕양구 신평동,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,경기도 고양시 덕양구 오금동,417700000.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,경기도 고양시 덕양구 용두동,175266932.3,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
84,경기도 고양시 덕양구 원당동,209135802.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
85,경기도 고양시 덕양구 원흥동,198848975.3,,2.0,0.0,0,4.0,28.0,13.0,4.0,0.0,0.0,0.0,2.0,0.0,56.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0
86,경기도 고양시 덕양구 주교동,93988607.36,,1.0,1.0,0,2.0,19.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,33.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
87,경기도 고양시 덕양구 지축동,475246835.8,,1.0,1.0,0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
88,경기도 고양시 덕양구 토당동,153253286.4,,2.0,1.0,1,5.0,45.0,25.0,15.0,0.0,3.0,0.0,0.0,0.0,45.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0
89,경기도 고양시 덕양구 행신동,177753046.3,,10.0,5.0,4,17.0,262.0,114.0,44.0,0.0,9.0,1.0,2.0,1.0,134.0,10.0,24.0,4.0,0.0,1.0,0.0,0.0,1.0,50.0,18.0
