address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
경기도 화성시 매송면 송라리,0,"37.278975,126.898523",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
경기도 화성시 매송면 원리,24336111.11,"37.278137,126.886329",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 비봉면 양노리,98428543.99,"37.226663,126.864170",0,0,0,0,3,4,1,1,0,0,0,0,8,2,0,1,0,0,0,0,0,4,0
경기도 화성시 비봉면 남전리,0,"37.240370,126.840360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 비봉면 유포리,0,"37.255088,126.841370",0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
경기도 화성시 비봉면 삼화리,64519503.33,"37.246768,126.859796",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0
경기도 화성시 비봉면 구포리,34571354.17,"37.248276,126.878641",0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0
경기도 화성시 비봉면 쌍학리,0,"37.238993,126.897450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
경기도 화성시 비봉면 청요리,0,"37.200234,126.894069",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
경기도 화성시 비봉면 자안리,25578977.27,"37.202738,126.874349",0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
경기도 화성시 마도면 석교리,66153459.53,"37.200458,126.773713",1,1,0,1,1,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,3,1
경기도 화성시 마도면 두곡리,76052116.57,"37.206472,126.781508",0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0
경기도 화성시 마도면 송정리,0,"37.219784,126.789635",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
경기도 화성시 마도면 쌍송리,96162500,"37.186972,126.786538",0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0
경기도 화성시 마도면 청원리,60845302.71,"37.180379,126.767462",0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
경기도 화성시 마도면 슬항리,49330024.51,"37.201283,126.760369",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
경기도 화성시 마도면 해문리,0,"37.200144,126.745005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 마도면 백곡리,28761538.46,"37.186928,126.727438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 마도면 금당리,84161111.11,"37.187670,126.746042",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
경기도 화성시 마도면 고모리,0,"37.172549,126.742371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 송산면 사강리,62076230.72,"37.216112,126.730177",1,1,1,1,15,12,4,1,0,0,0,0,38,1,0,1,0,0,0,0,1,6,1
경기도 화성시 송산면 봉가리,46577634.41,"37.211577,126.740356",0,0,0,0,1,3,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 삼존리,76689083.33,"37.218137,126.753255",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 용포리,0,"37.230393,126.752979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 고정리,0,"37.256396,126.744069",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
경기도 화성시 송산면 쌍정리,0,"37.232686,126.729654",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 천등리,0,"37.238486,126.708326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
경기도 화성시 송산면 신천리,0,"37.249852,126.717364",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 송산면 독지리,0,"37.255512,126.692804",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 마산리,0,"37.231643,126.693104",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 고포리,0,"37.239844,126.671179",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
경기도 화성시 송산면 지화리,0,"37.214983,126.681593",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 중송리,0,"37.221334,126.707252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 송산면 육일리,122171906.4,"37.204576,126.722473",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
경기도 화성시 송산면 칠곡리,0,"37.204197,126.706584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 서신면 전곡리,34682812.5,"37.190460,126.680688",0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,0,0,0,0,0,3,0
경기도 화성시 서신면 상안리,67598260.15,"37.180073,126.708061",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
경기도 화성시 서신면 광평리,0,"37.175504,126.694231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 서신면 장외리,82716666.67,"37.173479,126.677993",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
경기도 화성시 서신면 송교리,96726548.67,"37.164514,126.664208",0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0
경기도 화성시 서신면 제부리,12029861.11,"37.168867,126.622153",0,0,0,0,0,0,0,1,0,0,0,0,25,1,0,0,0,0,0,0,0,1,0
경기도 화성시 서신면 홍법리,0,"37.165950,126.730885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 서신면 사곳리,0,"37.155245,126.727511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 서신면 매화리,40207153.97,"37.165733,126.703705",0,0,0,1,0,4,1,1,0,0,0,0,6,1,0,0,0,0,0,0,0,4,0
경기도 화성시 서신면 용두리,33101662.05,"37.149434,126.710784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 서신면 궁평리,91485981.31,"37.129424,126.693310",0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0
경기도 화성시 서신면 백미리,0,"37.141003,126.689027",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 하저리,24605519.48,"37.186294,126.868533",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
경기도 화성시 팔탄면 창곡리,0,"37.186081,126.887610",0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
경기도 화성시 팔탄면 기천리,0,"37.182446,126.907918",0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
경기도 화성시 팔탄면 가재리,52217727.24,"37.151743,126.925525",0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0
경기도 화성시 팔탄면 구장리,46571461,"37.163536,126.901592",0,0,0,1,0,6,1,1,0,0,0,0,12,0,0,1,0,0,0,0,0,3,0
경기도 화성시 팔탄면 율암리,39650000,"37.167154,126.880481",0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,3,0
경기도 화성시 팔탄면 노하리,84475555.56,"37.158038,126.860959",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
경기도 화성시 팔탄면 덕천리,0,"37.143965,126.872608",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 지월리,56080327.87,"37.144784,126.892179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 덕우리,39442666.67,"37.135053,126.861776",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 서근리,62268181.82,"37.130462,126.849050",0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 월문리,0,"37.120159,126.871302",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 화당리,0,"37.120168,126.859554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 고주리,0,"37.131939,126.885199",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 매곡리,26450324.68,"37.116631,126.885805",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
경기도 화성시 팔탄면 해창리,0,"37.107248,126.874288",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
경기도 화성시 장안면 어은리,39624946.88,"37.090190,126.833874",1,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1
경기도 화성시 장안면 석포리,39243017.46,"37.136172,126.832785",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
경기도 화성시 장안면 수촌리,35467105.26,"37.098499,126.857606",0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0
경기도 화성시 장안면 독정리,47590845.07,"37.074213,126.856969",0,0,0,0,0,1,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,5,0
경기도 화성시 장안면 장안리,39736842.11,"37.042102,126.851185",2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0
경기도 화성시 장안면 덕다리,0,"37.058186,126.836730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
경기도 화성시 장안면 사랑리,86060000,"37.073988,126.828319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 장안면 금의리,0,"37.110748,126.827989",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0
경기도 화성시 장안면 사곡리,57097723.93,"37.067492,126.811261",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0
경기도 화성시 장안면 노진리,0,"37.044425,126.816325",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
경기도 화성시 양감면 신왕리,26514843.75,"37.076932,126.948302",1,1,0,0,1,1,1,1,0,0,0,0,4,1,0,2,0,0,0,0,0,4,0
경기도 화성시 양감면 사창리,0,"37.097073,126.969644",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
경기도 화성시 양감면 정문리,0,"37.093601,126.986920",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
경기도 화성시 양감면 송산리,26008059.7,"37.110584,126.987140",0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
경기도 화성시 양감면 용소리,0,"37.078256,126.979690",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
경기도 화성시 양감면 요당리,0,"37.071033,126.928505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 양감면 대양리,46717304.49,"37.092075,126.938445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
경기도 화성시 정남면 발산리,61775157,"37.159216,126.984623",1,0,0,1,2,1,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,4,1
경기도 화성시 정남면 괘랑리,30455897.89,"37.181677,126.990419",0,0,0,0,1,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
경기도 화성시 정남면 보통리,35634875.44,"37.190834,126.973321",0,0,0,0,0,0,2,0,1,0,0,0,16,1,0,0,0,0,0,0,0,3,0
경기도 화성시 정남면 관항리,0,"37.180032,126.964254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 정남면 오일리,0,"37.169936,126.967212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 정남면 백리,0,"37.167257,126.954260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 정남면 문학리,0,"37.152452,126.965841",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
경기도 화성시 정남면 신리,32806849.32,"37.162911,126.977538",0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
경기도 화성시 정남면 계향리,48700000,"37.149071,126.981774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
경기도 화성시 정남면 귀래리,0,"37.135951,126.989860",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
경기도 화성시 정남면 제기리,0,"37.134576,127.012153",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
경기도 화성시 정남면 덕절리,88140024.55,"37.136949,127.025501",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0
경기도 화성시 정남면 음양리,0,"37.144500,127.021154",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
경기도 화성시 정남면 망월리,41348214.29,"37.150103,127.010425",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
경기도 화성시 정남면 수면리,0,"37.157740,127.024028",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도 화성시 정남면 내리,0,"37.158718,127.017744",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
경기도 화성시 정남면 금복리,0,"37.155833,127.008217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 정남면 고지리,46663888.89,"37.164145,127.008102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도 화성시 정남면 용수리,22772972.97,"37.169966,127.001203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
